time,ip,state,val
2022-05-26 11:12:29,221.151.78.120:81,rulebase_on,5.324
2022-05-26 11:12:35,221.151.78.120:82,rulebase_on,689.053
2022-05-26 11:12:40,221.151.78.120:81,rulebase_on,5.141
2022-05-26 11:12:45,221.151.78.120:82,rulebase_on,688.041
2022-05-26 11:12:50,221.151.78.120:81,rulebase_on,5.141
2022-05-26 11:12:55,221.151.78.120:82,rulebase_on,688.041
2022-05-26 11:13:00,221.151.78.120:81,rulebase_on,4.938
2022-05-26 11:13:06,221.151.78.120:82,rulebase_on,687.746
2022-05-26 11:13:11,221.151.78.120:81,rulebase_on,5.073
2022-05-26 11:13:16,221.151.78.120:82,rulebase_on,687.103
2022-05-26 11:13:21,221.151.78.120:81,rulebase_on,5.073
2022-05-26 11:13:26,221.151.78.120:82,rulebase_on,687.024
2022-05-26 11:13:31,221.151.78.120:81,rulebase_on,4.982
2022-05-26 11:13:37,221.151.78.120:82,rulebase_on,687.024
2022-05-26 11:13:42,221.151.78.120:81,rulebase_on,5.16
2022-05-26 11:13:47,221.151.78.120:82,rulebase_on,686.819
2022-05-26 11:13:52,221.151.78.120:81,rulebase_on,5.632
2022-05-26 11:13:57,221.151.78.120:82,rulebase_on,686.819
2022-05-26 11:14:02,221.151.78.120:81,rulebase_on,5.632
2022-05-26 11:14:08,221.151.78.120:82,rulebase_on,686.819
2022-05-26 11:14:13,221.151.78.120:81,rulebase_on,5.462
2022-05-26 11:14:18,221.151.78.120:82,rulebase_on,685.288
2022-05-26 11:14:23,221.151.78.120:81,rulebase_on,5.456
2022-05-26 11:14:28,221.151.78.120:82,rulebase_on,685.288
2022-05-26 11:14:34,221.151.78.120:81,rulebase_on,5.456
2022-05-26 11:14:39,221.151.78.120:82,rulebase_on,685.288
2022-05-26 11:14:44,221.151.78.120:81,rulebase_on,5.218
2022-05-26 11:14:49,221.151.78.120:82,rulebase_on,686.56
2022-05-26 11:14:55,221.151.78.120:81,rulebase_on,5.661
2022-05-26 11:14:59,221.151.78.120:82,rulebase_on,686.56
2022-05-26 11:15:05,221.151.78.120:81,rulebase_on,5.268
2022-05-26 11:15:10,221.151.78.120:82,rulebase_on,686.886
2022-05-26 11:15:15,221.151.78.120:81,rulebase_on,5.268
2022-05-26 11:15:20,221.151.78.120:82,rulebase_on,686.52
2022-05-26 11:15:26,221.151.78.120:81,rulebase_on,5.29
2022-05-26 11:15:30,221.151.78.120:82,rulebase_on,686.52
2022-05-26 11:15:36,221.151.78.120:81,rulebase_on,5.29
2022-05-26 11:15:41,221.151.78.120:82,rulebase_on,686.52
2022-05-26 11:15:46,221.151.78.120:81,rulebase_on,5.29
2022-05-26 11:15:51,221.151.78.120:82,rulebase_on,685.958
2022-05-26 11:15:56,221.151.78.120:81,rulebase_on,5.027
2022-05-26 11:16:01,221.151.78.120:82,rulebase_on,685.831
